step,epoch,loss
50,0.8333333333333334,1.0324
100,1.6666666666666665,0.8143
150,2.5,0.7228
200,3.3333333333333335,0.6931
250,4.166666666666667,0.6312
300,5.0,0.5944
350,5.833333333333333,0.5527
400,6.666666666666667,0.525
450,7.5,0.4942
500,8.333333333333334,0.4734
550,9.166666666666666,0.4576
600,10.0,0.4526
650,10.833333333333334,0.4386
700,11.666666666666666,0.4411
750,12.5,0.4192
800,13.333333333333334,0.4359
850,14.166666666666666,0.4223
900,15.0,0.4195
950,15.833333333333334,0.4212
1000,16.666666666666668,0.4108
1050,17.5,0.4273
1100,18.333333333333332,0.4044
1150,19.166666666666668,0.4165
1200,20.0,0.4127
